,resolution_number,date,size,issue,legislation,outcome,text,contract,acuerdo_marco
20,0399/2018,2018-04-23,145.82,Pliegos,TRLCSP,Desestimacion, Desestimacion.  Cuestion de naturaleza laboral que no debe impedir la delimitacion del contrato de acuerdo con las necesidades del organo de contratacion. ,Servicios,False
21,0398/2018,2018-04-23,113.82,Exclusion,TRLCSP,Inadmision, Inadmision.  Fuera de plazo. ,Suministro,False
22,0400/2018,2018-04-23,189.04,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  Estudio de cuestiones previas: confidencialidad, secreto de las proposiciones, constitucion del Comite de expertos.  Deber de motivar: diferencias entre deber de motivacion racional y suficiente y la discrepancia por el licitador descartado en cuanto a su contenido. ",Servicios,False
23,0401/2018,2018-04-23,121.55,Pliegos,TRLCSP,Desestimacion," Desestimacion.  Subrogacion de personal (art.  120 ), convenio colectivo, clausula de subrogacion vs obligacion de informacion, doctrina TACRC. ",Obras,False
24,0402/2018,2018-04-23,154.19,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  La empresa recurrente alega falta de informacion en el acuerdo de adjudicacion del criterio aplicado para determinar la puntuacion de las ofertas; aplicacion, a efectos del calculo de la prima neta total anual, de un criterio no previsto en los pliegos, y existencia de errores en la notificacion de la adjudicacion.  El recurso se desestima por considerarse que: la notificacion de la adjudicacion reune informacion suficiente para permitir conocer los motivos determinantes de la adjudicacion del lote no 1, en aplicacion de criterios de valoracion automaticos; el organo de contratacion ha aplicado el criterio previsto en los pliegos para determinar la puntuacion economica de las ofertas, respondiendo la pretension de la recurrente a una interpretacion unilateral sin base en los pliegos; en la notificacion de la adjudicacion concurrieron meros errores tipograficos o de transcripcion, que no han desvirtuado el resultado del calculo final. ",Servicios,False
25,0403/2018,2018-04-23,113.78,Adjudicacion,TRLCSP,Inadmision," Inadmision.  Retirada de la oferta por transcurso del plazo maximo para la adjudicacion.  Anulacion posterior por el organo de contratacion de la resolucion de adjudicacion, con devolucion de la garantia definitiva.  Inadmision por carencia sobrevenida de objeto del recurso. ",Servicios,False
26,0404/2018,2018-04-23,102.78,Adjudicacion,TRLCSP,Inadmision, Inadmision: falta de legitimacion activa al haber sido excluida la UTE recurrente e inadmitido su recurso especial contra la decision de exclusion. ,Suministro,False
27,0386/2018,2018-04-23,131.23,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  Impugna clausulas del pliego en el momento de la adjudicacion.  No es necesario constituir comite de expertos porque los criterios susceptibles de valoracion mediante criterios no automaticos tienen una ponderacion de 40 puntos sobre el total.  Discrecionalidad tecnica del organo en la emision del informe tecnico de valoracion. ,Servicios,False
28,0409/2018,2018-04-23,139.31,Exclusion,TRLCSP,Estimacion, Estimacion.  Error en la transcripcion de los precios unitarios.  Doctrina del Tribunal sobre los errores en la oferta economica.  Error facilmente subsanable. ,Servicios,False
29,0378/2018,2018-04-20,289.79,Adjudicacion,TRLCSP,Inadmision, Inadmision.  Falta de legitimacion en el recurrente cuarto clasificado en la licitacion sin posibilidad de ser adjudicatario como consecuencia de la estimacion del recurso. ,Servicios,False
30,0380/2018,2018-04-20,458.53,Adjudicacion,TRLCSP,Inadmision, Inadmision.  Falta de legitimacion en el recurrente cuarto clasificado en la licitacion sin posibilidad de ser adjudicatario como consecuencia de la estimacion del recurso. ,Servicios,False
31,0381/2018,2018-04-20,749.8,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  Valoracion de las ofertas: Discrecionalidad tecnica del organo de contratacion.  Doctrina del Tribunal. ,Servicios,False
32,0379/2018,2018-04-20,364.57,Pliegos,TRLCSP,Estimacion," Estimacion.  Inclusion de manera autonoma y no derivada de Convenio Colectivo aplicable, obligacion de subrogacion trabajadores. ",Servicios,False
33,0382/2018,2018-04-20,261.53,Pliegos,TRLCSP,Inadmision," Inadmision.  Se inadmiteporaplicacion del efecto directo de la Directiva 2014/24/UE, al tratarse de un contrato de servicios de seguridad incluido en el Anexo XIV de la nueva Directiva, cuyo valor estimado no alcanza los 750. 000 euros exigidos en el articulo 4. d) de dicha Directiva para ser contrato sujeto a regulacion armonizada. ",Servicios,False
34,0383/2018,2018-04-20,282.38,Pliegos,TRLCSP,Inadmision," Inadmision.  Se inadmiteporaplicacion del efecto directo de la Directiva 2014/24/UE, al tratarse de un contrato de servicios de seguridad incluido en el Anexo XIV de la nueva Directiva, cuyo valor estimado no alcanza los 750. 000 euros exigidos en el articulo 4. d) de dicha Directiva para ser contrato sujeto a regulacion armonizada. ",Servicios,False
35,0384/2018,2018-04-20,281.21,Pliegos,TRLCSP,Inadmision," Inadmision.  Recurso extemporaneo.  Tambien se inadmiteporaplicacion del efecto directo de la Directiva 2014/24/UE, al tratarse de un contrato de servicios sociales incluido en el Anexo XIV de la nueva Directiva, cuyo valor estimado no alcanza los 750. 000 euros exigidos en el articulo 4. d) de dicha Directiva para estarsujeto a regulacion armonizada. ",Servicios,False
36,0385/2018,2018-04-20,390.45,Pliegos,TRLCSP,Inadmision, Inadmision.  El organo de contratacion ya ha modificado el PPT para subsanar los errores e inconsistencias alegados por la recurrente.  La rectificacion se ha publicado en la Plataforma y en el DOUE por lo que se inadmite el recurso por falta de objeto. ,Servicios,False
37,0376/2018,2018-04-13,151.65,Exclusion,TRLCSP,Estimacion,Estimacion.  No concurre la necesidad de la autorizacion o licencia ambiental que la Ley 6/2014 exige para una actividad claramente diferente de la que constituye el objeto de contrato licitado. ,Servicios,False
38,0374/2018,2018-04-13,337.84,Adjudicacion,LCSE,Estimacion," Estimacion.  Criterios para acudir a un procedimiento negociado sin publicidad, art.  59. a).  Cualquier modificacion del precio debe considerarse como un cambio sustancial en las condiciones esenciales de la contratacion anterior desierta.  Doctrina del TJUE. ",Servicios,False
39,0356/2018,2018-04-13,166.91,Exclusion,TRLCSP,Estimacion,"Estimacion.  No puede excluirse a un licitador por no aportar en el tramite del articulo 151. 2  un documento fehaciente del pago de los anuncios de publicidad, pues no es uno de los documentos a que se refiere ese precepto y ademas se trata de una obligacion que solo corresponde al adjudicatario segun el articulo 75 RGLCAP, condicion que solo tendra una vez aportada la documentacion correspondiente a dicho tramite.  Ademas, el documento presentado era suficiente a la vista del requerimiento efectuado por el propio organo de contratacion y siendo este el destinatario de la transferencia que acreditaba el pago.  Principio de proporcionalidad. ",Suministro,False
40,0357/2018,2018-04-13,201.08,Exclusion,,Desestimacion,None,Servicios,False
41,0358/2018,2018-04-13,150.12,Adjudicacion,LCSE,Desestimacion, Desestimacion.  Formalidades en la tramitacion del procedimiento.  Deber de motivar: diferencias entre deber de motivacion racional y suficiente y la discrepancia por el licitador descartado en cuanto a su contenido. ,Servicios,False
42,0359/2018,2018-04-13,131.98,Pliegos,TRLCSP,Desestimacion," Desestimacion.  La nulidad declarada del anterior contrato, y el inminente inicio de la campaña de riegos justifican la utilizacion del procedimiento negociado sin publicidad, articulo 170. e) . ",Servicios,False
43,0377/2018,2018-04-13,137.46,Exclusion,TRLCSP,Estimacion," Estimacion.  El compromiso de cumplir con los requisitos materiales minimos exigidos por los pliegos ya existia por parte de la empresa recurrente, al aportar el DEUC, y un modelo de declaracion responsable incluido en los pliegos. ",Servicios,False
44,0360/2018,2018-04-13,145.14,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  se recurre el acuerdo de adjudicacion de un contrato de servicios.  Se cita la doctrina reiterada del TACRC sobre la discrecionalidad tecnica de la Administracion, y se desestima por no incurrir la actuacion de la Administracion en ninguno de los supuestos que habilitan la revision de tal actuacion. ",Servicios,False
45,0362/2018,2018-04-13,241.81,Pliegos,TRLCSP,Desestimacion," Desestimacion.  Solvencia economica financiera acuerdo marco, discrecionalidad del organo de contratacion motivacion dentro de las opciones del .  interpretacion conforme a la LCSP. ",Suministro,False
46,0363/2018,2018-04-13,149.51,Exclusion,TRLCSP,Desestimacion, Desestimacion.  Retirada de ofertas abierto el sobre A.  falta de acreditacion de solvencia tecnica y economica en supuesto de lotes.  Se atiende a la suma de la solvencia de los lotes a los que se presenta oferta. ,Suministro,True
47,0365/2018,2018-04-13,92.97,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  Valoracion de las mejoras ofrecidas por las empresas licitadoras.  Las empresas en conflicto ofrecen la misma mejora, aunque lo expresen en terminos distintos. ",Suministro,False
48,0364/2018,2018-04-13,127.01,Pliegos,TRLCSP,Desestimacion," Desestimacion.  Contrato de prestacion del servicio de trasformacion del plasma en medicamentos derivados.  Division en lotes.  Improcedencia, la tesis de la recurrente se basa en una errada interpretacion de los pliegos.  Discriminacion, la decision de obtener los medicamentos hemoderivados de un servicio de transformacion y no de un contrato de suministro resulta motivada por su importante ahorro economico. ",Servicios,False
49,0351/2018,2018-04-13,192.69,Exclusion,TRLCSP,Desestimacion, Desestimacion.  Acto recurrible aun cuando no haya sido notificado individualmente.  Incumplimiento del PPT conforme a derecho. ,Suministro,False
50,0352/2018,2018-04-13,114.81,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  Incumplimiento de las exigencias establecidas en los pliegos.  Valor probatorio de documentos publicos incorporados al expediente.  Posibilidad de sustitucion de un centro por otro con posterioridad a la adjudicacion.  Posibilidad de subsanacion documental en el tramite de justificacion de cumplimiento de los requisitos exigidos por los pliegos y adscripcion de los medios personales y materiales comprometidos. ,Servicios,False
51,0372/2018,2018-04-13,242.29,Exclusion,TRLCSP,Estimacion," Estimacion.  La falta de firma de la proposicion economica por todos los representantes de las empresas participantes en una Union Temporal de Empresas, es un acto subsanable. ",Servicios,False
52,0366/2018,2018-04-13,325.49,Pliegos,TRLCSP,Desestimacion," Desestimacion.  Impugnacion del precio fijado en los Pliegos de un contrato para ayuda en domicilio.  El Convenio Colectivo no es la unica referencia considerar, y no se acredita que el calculo realizado por el organo de contratacion sea incorrecto, el cual ademas toma la tabla salarial del Convenio como referencia para calcular el coste salarial. ",Servicios,False
53,0367/2018,2018-04-13,141.24,Pliegos,TRLCSP,Desestimacion, Desestimacion.  Impugnacion de pliegos en contrato de suministro de gases.  Discrecionalidad tecnica del organo de contratacion. ,Suministro,False
54,0368/2018,2018-04-13,193.61,Adjudicacion,TRLCSP,Estimacion," Estimacion.  Oferta economica bajo la presuncion inicial de valores desproporcionados.  Incoherencia, contradiccion y falta de motivacion de los informes emitidos por el organo de contratacion.  Retroaccion de actuaciones. ",Servicios,False
55,0369/2018,2018-04-13,77.73,Licitacion,TRLCSP,Inadmision, Inadmision.  No SARA. ,Obras,False
56,0370/2018,2018-04-13,120.46,NaN,TRLCSP,Inadmision," Inadmision.  Acto de tramite no cualificado (clasificacion de ofertas y propuesta de adjudicacion).  Por un principio de economia procesal, se entra en el fondo de las alegaciones, como ya se hizo en otro recurso similar (239/2018).  El recurso se habria desestimado por cuanto la oferta de la adjudicataria ha respetado lo dispuesto en los pliegos.  El precio de la hora-extra ofertado puede ser inferior al coste para la empresa. ",Servicios,False
57,0373/2018,2018-04-13,135.37,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  La consideracion de anormalidad, salvo que los pliegos establezcan otra cosa, debe referirse al conjunto de la oferta economica, no a cada uno de sus componentes, pues no carece de logica ni es temerario, en principio, hacer una oferta mas baja en una de las prestaciones o servicios a contratar, que se compense con otra mas ajustada en las demas prestaciones. ",Servicios,False
58,0371/2018,2018-04-13,82.49,Pliegos,TRLCSP,Inadmision," Inadmision.  Se inadmiteporaplicacion del efecto directo de la Directiva 2014/24/UE, al tratarse de un contrato de servicios sociales incluido en el Anexo XIV de la nueva Directiva, cuyo valor estimado no alcanza los 750. 000 euros exigidos en el articulo 4. d) de dicha Directiva para ser contrato sujeto a regulacion armonizada. ",Servicios,False
59,0375/2018,2018-04-13,77.61,Pliegos,TRLCSP,Inadmision, Inadmision.  No SARA. ,Servicios,False
60,0361/2018,2018-04-13,149.75,Adjudicacion,LCSE,NaN,", al inicio y durante la ejecucion del contrato. ",Servicios,False
61,0353/2018,2018-04-13,130.75,Exclusion,TRLCSP,Desestimacion, Desestimacion.  Exclusion por incumplimiento de requisitos tecnicos.  Discrecionalidad tecnica.  No se advierte arbitrariedad o discriminacion. ,Servicios,False
62,0354/2018,2018-04-13,151.9,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  Discrecionalidad tecnica para apreciar la oferta tecnica y la valoracion de los criterios de adjudicacion dependientes de juicios de valor.  no se extiende a la interpretacion del pliego de prescripciones administrativas particulares. ,Servicios,False
63,0355/2018,2018-04-13,241.75,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  Valoracion de criterios de adjudicacion dependientes de formulas, discrecionalidad tecnica de la administracion, valoracion de medio de prueba, certificados de cumplimiento de requisitos legales.  irregularidad en la valoracion que no afecta al resultado de la propuesta de adjudicacion. ",Servicios,False
64,0322/2018,2018-04-06,86.85,Adjudicacion,TRLCSP,Inadmision, Inadmision.  Recurso presentado en formato papel y no electronico. ,Servicios,False
65,0348/2018,2018-04-06,171.79,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  Mejoras tecnicas como criterio de adjudicacion.  Caracter accidental.  Su alteracion, tras un tramite de aclaracion, no supone una alteracion sustancial de la oferta y no supone por tanto la exclusion del licitador.  Conlleva la no valoracion de la mejora.  La exclusion del licitador que cumple con la presentacion de suproposicion, (que incluye por imperativo del PPT la obligacion de aportar unos minimos medios tecnicos) en los terminos que vinculara al licitador a lo largo de la vida del contrato y que no se ha visto alterada salvo en un aspecto accidental y no esencial, supondria una consecuencia excesivamente severa y desproporcionada, pues el error y ulterior alteracion en la proposicion de la “mejora tecnica” evidenciado con la respuesta a la solicitud de aclaracion, no impide conocer y valorar la oferta presentada y no hace inviable la oferta.  Posibilidad de subsanacion del requisito de solvencia tecnica con ocasion del tramite del art.  151. 2 : Doctrina del Tribunal. ",Servicios,False
66,0337/2018,2018-04-06,105.06,NaN,TRLCSP,Estimacion," Estimacion.  La empresa recurrente ha acreditado mediante certificado de la Oficina de Correos que si efectuo la imposiciondel envio en una Oficina de Correos prestadora del Servicio Postal Universal y ante la propia Oficina , y no en Correos Express .  Dicha imposicion produce el efecto de tener por presentada la proposicion el dia y hora en que se presenta en la Oficina de Correos, por tanto, en este caso, en plazo.  Laforma en que se efectue posteriormente el envio por Correos al Registro del Órgano de Contratacion no altera ese hecho. ",Servicios,False
67,0339/2018,2018-04-06,137.95,Adjudicacion,LCSE,Desestimacion, Desestimacion.  Contrato de suministro y de servicios.  Valores anormales o desproporcionados.  Defecto en oferta.  Falta de justificacion. ,NaN,False
68,0323/2018,2018-04-06,151.37,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  Se reitera la doctrina del Tribunal sobre el concepto de mejora como un plus sobre los requisitos fijados en el pliego y una ventaja para la administracion que puede obtener sin un sobrecoste.  El licitador no puede desconocer la existencia y alcance de la aclaracion publicada por el organo de contratacion en relacion con los pliegos.  Impugnacion de los pliegos extemporanea y que pretende desconocer la fuerza de cosa juzgada de resoluciones anteriores del Tribunal sobre las mismas clausulas que se pretenden impugnar por tercera vez.  Multa por temeridad. ,Servicios,True
69,0324/2018,2018-04-06,92.14,Pliegos,TRLCSP,Desestimacion, Desestimacion.  El Órgano de contratacion en quien mejor conoce las necesidades a satisfacer con el contrato; discrecionalidad para definir requisitos tecnicos productos suministro; doctrina TACRC.  Justificacion adecuada de los requisitos tecnicos establecidos; no conculcacion competencia y concurrencia; se trata de requisitos genericos que pueden ser cumplidos por todos los licitadores. ,Suministro,True
70,0325/2018,2018-04-06,117.05,Pliegos,TRLCSP,Estimacion Parcial, Estimacion parcial.  Analisis de lacalificacion que realiza el pliego de los criterios de adjudicacion como sujetos a juicio de valor.  Se aprecia la existencia dentro de estos que tienen caracter objetivo por estar realmente sujeta a formula la distribucion de los puntos. ,Servicios,False
71,0326/2018,2018-04-06,117.58,Exclusion,TRLCSP,Desestimacion," Desestimacion.  Falta de capacidad de obrar: el objeto social no guarda relacion con el objeto del contrato.  La conducta del organo de contratacion en otras licitaciones no vincula en procedimientos posteriores.  La inscripcion en el ROLECE acredita la solvencia de la entidad, pero no suple su falta de capacidad de obrar. ",Servicios,False
72,0338/2018,2018-04-06,147.94,Exclusion,TRLCSP,Estimacion, Estimacion.  Tramite de subsanacion.  Necesidad de acreditar los requisitos del PCAP con anterioridad a la presentacion de las ofertas.  Efectos de la aportacion de fotocopias.  Subsanacion correcta. ,Servicios,False
73,0328/2018,2018-04-06,103.33,Pliegos,TRLCSP,Desestimacion, Desestimacion.  Clausulas de arraigo territorial: doctrina TJUE y TACRC; prohibidas como criterios de solvencia y como criterios de valoracion; admisibles como compromiso de adscripcion de medios si proporcionales y vinculadas al objeto del contrato.  Compromiso de adscripcion de medios en Madrid capital para la prestacion de servicios Call-Center justificada. ,Servicios,False
74,0349/2018,2018-04-06,138.61,Pliegos,TRLCSP,Desestimacion," Desestimacion.  No division en lotes.  La division en lotes en este caso concreto reduciria hasta la insignificancia el importe de dichos lotes, ademas de dificultar su gestion separada. ",Servicios,False
75,0329/2018,2018-04-06,74.54,Exclusion,TRLCSP,Desestimacion, Desestimacion.  No presentacion de la oferta en papel.  Exigencia del pliego de contratacion.  No se acredita la existencia de fallo en la plataforma puesta a disposicion de los licitadores para cumplimentar la oferta. ,Suministro,True
76,0330/2018,2018-04-06,73.37,Exclusion,TRLCSP,Desestimacion," Desestimacion.  Oferta no ajustada a lo exigido en el pliego de prescripciones tecnicas.  No solo no se acredita que no existan las normas y certificados exigidos, sino que la recurrente resulto adjudicataria en el anterior Acuerdo Marco en el que se exigian las mismas. ",Suministro,True
77,0331/2018,2018-04-06,76.41,Exclusion,TRLCSP,Desestimacion, Desestimacion Exclusion por incluir por error un CD con toda la documentacion en el Sobre A.  Exclusion procedente.  Igualdad de trato si se conoce la oferta economica al apreciarse los criterios dependientes de un juicio de valor. ,Servicios,False
78,0332/2018,2018-04-06,91.91,Exclusion,TRLCSP,Inadmision, Inadmision parcial.  Desestimacion parcial.  Presentacion extemporanea del escrito de ampliacion.  No alega nada en defensa de su derecho.  TACR revisa legalidad.  No cabe probar la solvencia tecnica en la presentacion del recurso. ,Servicios,False
79,0333/2018,2018-04-06,173.33,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  Se considerael recurso interpuesto en plazo porque, aunque presentado mas de 15 dias habiles despues de la notificacion, se le dio pie de recurso de reposicion de un mes o contencioso de dos meses. Se desestima porque en la justificacionno se tuvieron en cuenta adecuadamente las mejoras ofertadas. ",Servicios,False
80,0334/2018,2018-04-06,250.51,Pliegos,TRLCSP,Estimacion Parcial," Estimacion parcial.  Efecto directo Directiva 2014/24/UE, valor estimado del contrato superior a 750. 000 €.  Solvencia tecnica mediante certificados de calidad.  Interpretacion del articulo 80 del .  Restricciones a la concurrencia al exigir uno en concreto y no admitir equivalentes.  Confusion por no ofrecer la clasificacion como facultativa. ",Servicios,False
81,0335/2018,2018-04-06,127.47,Pliegos,TRLCSP,Desestimacion, Desestimacion.  Cosa juzgada: la clausula del Pliego objeto de impugnacion ha sido ya enjuiciada y declarada valida por un organo jurisdiccional contencioso-administrativo. ,Servicios,False
82,0336/2018,2018-04-06,96.33,NaN,TRLCSP,Inadmision," Inadmision.  Se inadmite por recurrir un acto de tramite no cualificado (clasificacion de ofertas y propuesta de adjudicacion).  Por un principio de economia procesal, se entra en el fondo de las alegaciones.  El recurso se habria desestimado por cuanto la oferta de la adjudicataria ha respetado lo dispuesto en los pliegos.  El precio de la hora-extra ofertado puede ser inferior al coste para la empresa. ",Servicios,False
83,0340/2018,2018-04-06,118.76,Adjudicacion,LCSE,Inadmision," Inadmision.  Falta de legitimacion.  La empresa recurrente no concurrio a la licitacion por no cumplir las exigencias de los pliegos.  Considera que la empresa adjudicataria (la unica licitadora) tampoco las cumplia.  La reclamacion se considera presentada en plazo porque el inicio para recurrir la adjudicacion es desde la publicacion del anuncio de adjudicacion en el perfil de contratante.  De admitirse, se habria desestimado el recurso porque la adjudicataria acredito disponer de los medios exigidos en los pliegos mediante el compromiso de adscripcion de medios externos. ",Servicios,False
